,Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Component 1,Component 2
0,Precious Achiuwa,Center,73,1725,265,603,0.439,56,156,0.359,209,447,0.468,0.486,78,131,0.595,146,327,473,82,37,41,84,151,664,12.7,0.503,0.259,0.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,2.388617150509667,1.809927898579837
1,Steven Adams,Center,76,1999,210,384,0.547,0,1,0.0,210,383,0.548,0.547,108,199,0.543,349,411,760,256,65,60,115,153,528,17.6,0.56,0.003,0.518,17.9,22.0,19.9,16.1,1.6,2.7,19.6,12.0,4.428977829675733,4.940561561920369
2,Bam Adebayo,Center,56,1825,406,729,0.557,0,6,0.0,406,723,0.562,0.557,256,340,0.753,137,427,564,190,80,44,148,171,1068,21.8,0.608,0.008,0.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,5.464597923286368,2.342304822484404
3,Santi Aldama,Forward,32,360,53,132,0.402,6,48,0.125,47,84,0.56,0.424,20,32,0.625,33,54,87,21,6,10,16,36,132,10.2,0.452,0.364,0.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,-2.5105521139693283,0.504859982932576
4,LaMarcus Aldridge,Center,47,1050,252,458,0.55,14,46,0.304,238,412,0.578,0.566,89,102,0.873,73,185,258,42,14,47,44,78,607,19.6,0.604,0.1,0.223,7.8,18.7,13.4,6.3,0.6,4.0,8.0,22.4,0.45233702230490047,1.7080948798229534
5,Nickeil Alexander-Walker,Guard,65,1466,253,680,0.372,105,338,0.311,148,342,0.433,0.449,81,109,0.743,37,150,187,156,46,23,93,103,692,10.5,0.475,0.497,0.16,2.7,11.5,7.1,16.1,1.5,1.5,11.3,24.1,1.2083550465541377,-1.2856985790562863
6,Grayson Allen,Guard,66,1805,255,569,0.448,159,389,0.409,96,180,0.533,0.588,64,74,0.865,32,190,222,100,46,18,43,96,733,12.7,0.609,0.684,0.13,1.9,10.9,6.5,7.6,1.2,1.0,6.7,15.2,0.7523884493977778,-1.3640474399589648
7,Jarrett Allen,Center,56,1809,369,545,0.677,1,10,0.1,368,535,0.688,0.678,165,233,0.708,192,410,602,92,44,75,94,97,904,23.0,0.698,0.018,0.428,12.0,24.5,18.4,8.2,1.2,3.7,12.7,18.1,3.951226511274702,4.092566351107783
8,Jose Alvarado,Guard,54,834,131,294,0.446,32,110,0.291,99,184,0.538,0.5,36,53,0.679,25,75,100,152,71,7,40,73,330,16.4,0.52,0.374,0.18,3.2,10.2,6.6,26.9,4.2,0.8,11.2,18.4,-0.7546464040560088,-0.48084711532052665
9,Justin Anderson,Forward,16,316,36,95,0.379,15,59,0.254,21,36,0.583,0.458,15,19,0.789,4,42,46,33,8,6,8,22,102,10.4,0.493,0.621,0.2,1.4,15.0,8.1,14.2,1.2,1.7,7.2,15.1,-2.9280900433564434,0.03510986486915779
10,Kyle Anderson,Forward,69,1484,209,469,0.446,36,109,0.33,173,360,0.481,0.484,67,105,0.638,69,299,368,183,77,45,71,108,521,14.4,0.506,0.232,0.224,4.8,21.6,13.0,16.2,2.5,2.7,12.1,16.2,1.719157889653711,0.9178157027990459
11,Giannis Antetokounmpo,Forward,67,2204,689,1245,0.553,71,242,0.293,618,1003,0.616,0.582,553,766,0.722,134,644,778,388,72,91,219,212,2002,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,11.415987638580901,1.8744971117691653
12,Thanasis Antetokounmpo,Forward,48,473,70,128,0.547,2,14,0.143,68,114,0.596,0.555,29,46,0.63,40,61,101,22,16,12,26,68,171,12.5,0.577,0.109,0.359,9.2,13.4,11.3,6.5,1.6,2.4,14.9,15.7,-2.0309148546892515,0.8059366835265989
13,Carmelo Anthony,Forward,69,1793,319,723,0.441,149,397,0.375,170,326,0.521,0.544,132,159,0.83,62,226,288,68,47,52,59,166,919,14.8,0.579,0.549,0.22,3.7,13.5,8.6,5.6,1.3,2.6,6.9,20.4,2.491386618393694,-0.3202437979094294
14,Cole Anthony,Guard,65,2059,357,912,0.391,132,391,0.338,225,521,0.432,0.464,216,253,0.854,32,316,348,369,46,17,170,171,1062,13.5,0.519,0.429,0.277,1.6,16.2,8.9,28.9,1.1,0.8,14.2,25.1,4.381210469100174,-1.9482660997876056
15,OG Anunoby,Forward,48,1728,309,697,0.443,115,317,0.363,194,380,0.511,0.526,89,118,0.754,74,190,264,125,71,25,80,131,822,14.8,0.549,0.455,0.169,4.4,12.6,8.3,11.0,2.1,1.4,9.7,20.5,2.0927728731440807,-0.5643035491968189
16,Ryan Arcidiacono,Guard,10,76,6,12,0.5,4,9,0.444,2,3,0.667,0.667,0,0,0.0,0,8,8,4,1,0,3,5,16,6.1,0.667,0.75,0.0,0.0,11.5,5.7,7.5,0.7,0.0,20.0,8.6,-3.63947432060457,0.2882172297734601
17,Trevor Ariza,Forward,24,462,33,99,0.333,20,74,0.27,13,25,0.52,0.434,10,18,0.556,10,72,82,27,13,6,11,20,96,7.0,0.449,0.747,0.182,2.3,16.7,9.5,7.5,1.3,1.2,9.3,11.0,-2.791933803309349,-0.05069879449178641
18,D.J. Augustin,Guard,55,883,94,222,0.423,68,164,0.415,26,58,0.448,0.577,38,43,0.884,11,57,68,107,17,1,56,39,294,9.7,0.61,0.739,0.194,1.4,7.0,4.2,16.8,0.9,0.1,18.9,14.3,-1.7763762480592056,-1.1854689349723968
19,Deni Avdija,Forward,82,1984,250,579,0.432,82,259,0.317,168,320,0.525,0.503,103,136,0.757,52,373,425,167,59,44,87,190,685,11.6,0.536,0.447,0.235,3.0,20.5,11.9,11.8,1.5,1.9,12.0,16.3,2.7174957962359563,0.4757899808256758
20,Deandre Ayton,Center,58,1713,442,697,0.634,7,19,0.368,435,678,0.642,0.639,106,142,0.746,149,444,593,84,40,40,91,142,997,21.9,0.656,0.027,0.204,9.6,27.1,18.6,7.6,1.1,2.1,10.7,21.4,3.670610828751204,3.156718128531349
21,Marvin Bagley III,Forward,48,1146,225,446,0.504,23,97,0.237,202,349,0.579,0.53,67,101,0.663,105,233,338,36,22,18,39,93,540,15.7,0.551,0.217,0.226,9.7,22.6,16.0,5.2,0.9,1.4,7.4,19.8,0.4807426291602118,1.56344600230961
22,LaMelo Ball,Guard,75,2422,538,1254,0.429,220,565,0.389,318,689,0.462,0.517,212,243,0.872,108,393,501,571,119,30,245,237,1508,19.7,0.554,0.451,0.194,4.7,17.4,11.0,35.7,2.4,1.2,15.3,28.2,8.090103462580823,-2.4670126011274256
23,Lonzo Ball,Guard,35,1212,162,383,0.423,110,260,0.423,52,123,0.423,0.567,21,28,0.75,35,155,190,178,64,31,82,85,455,14.5,0.575,0.679,0.073,3.3,14.3,8.8,20.0,2.6,2.2,17.2,17.4,0.24378875188730983,-1.0604891701554744
24,Mo Bamba,Center,71,1824,296,617,0.48,107,281,0.381,189,336,0.563,0.566,57,73,0.781,148,424,572,85,38,118,77,182,756,16.5,0.582,0.455,0.118,8.5,24.6,16.5,7.4,1.0,5.9,10.6,17.2,3.5318729320352196,2.9760752381215996
25,Desmond Bane,Guard,76,2266,508,1101,0.461,228,523,0.436,280,578,0.484,0.565,140,155,0.903,46,288,334,208,92,29,111,196,1384,17.6,0.592,0.475,0.141,2.1,13.6,7.7,13.5,1.9,1.1,8.7,23.1,4.799662019986146,-2.210441828212389
