,Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Component 1,Component 2
94,Zach Collins,Forward,28,502,76,155,0.49,14,41,0.341,62,114,0.544,0.535,52,65,0.8,46,107,153,61,13,23,45,67,218,16.4,0.594,0.265,0.419,9.5,22.5,16.0,16.3,1.2,3.8,19.7,19.2,-1.4122460404797046,0.7644082495304293
95,Mike Conley,Forward,72,2058,344,791,0.435,169,414,0.408,175,377,0.464,0.542,129,162,0.796,47,170,217,385,96,21,123,142,986,17.2,0.572,0.523,0.205,2.6,8.8,5.8,27.7,2.3,0.9,12.5,20.9,3.443986844774586,-2.439033267482491
96,Pat Connaughton,Forward,65,1691,227,496,0.458,146,370,0.395,81,126,0.643,0.605,45,54,0.833,45,228,273,82,59,15,35,86,645,13.4,0.62,0.746,0.109,2.9,14.0,8.6,6.6,1.7,0.9,6.3,14.0,0.6361961519741762,-0.7546913646783495
97,Sharife Cooper,Forward,13,39,3,14,0.214,1,6,0.167,2,8,0.25,0.25,0,0,,0,5,5,5,0,0,5,1,7,-5.4,0.25,0.429,0.0,0.0,14.0,7.0,16.3,0.0,0.0,26.3,21.3,-3.8381759070039263,-0.6777449675410954
98,Petr Cornelie,Forward,13,38,5,15,0.333,1,8,0.125,4,7,0.571,0.367,3,4,0.75,7,7,14,3,1,1,4,7,14,9.6,0.418,0.533,0.267,21.3,19.9,20.6,10.8,1.3,2.4,19.3,24.0,-3.6071525079024,0.1745488044309927
99,DeMarcus Cousins,Forward,48,718,149,324,0.46,37,122,0.303,112,202,0.554,0.517,95,125,0.76,74,196,270,71,35,21,85,139,430,18.2,0.567,0.377,0.386,11.7,29.1,20.6,15.2,2.4,2.7,18.3,28.1,0.5788666171608673,0.7972448393650481
100,Robert Covington,Forward,71,1940,209,498,0.42,128,339,0.378,81,159,0.509,0.548,58,69,0.841,59,332,391,92,103,91,75,190,604,12.4,0.572,0.681,0.139,3.3,18.9,11.0,6.8,2.6,4.4,12.4,13.5,2.6832910092066724,0.6980346897312727
101,Torrey Craig,Forward,78,1596,200,441,0.454,77,234,0.329,123,207,0.594,0.541,39,52,0.75,86,224,310,91,46,36,67,151,516,11.0,0.556,0.531,0.118,5.9,15.4,10.7,7.6,1.4,2.0,12.6,14.3,1.0020582801548148,0.8083355559791772
102,Jae Crowder,Forward,67,1886,217,544,0.399,127,365,0.348,90,179,0.503,0.516,71,90,0.789,30,324,354,124,95,30,55,173,632,11.3,0.541,0.671,0.165,1.8,18.0,10.1,8.3,2.4,1.4,8.6,14.6,2.00499493084837,-0.7244465849870882
103,Jarrett Culver,Forward,37,338,51,135,0.378,12,47,0.255,39,88,0.443,0.422,16,34,0.471,13,35,48,33,20,5,20,42,130,8.7,0.433,0.348,0.252,3.9,11.1,7.4,13.0,2.8,1.3,11.8,20.6,-2.5799461903100656,-0.2264800763003431
104,Cade Cunningham,Forward,64,2088,429,1031,0.416,114,363,0.314,315,668,0.472,0.471,142,168,0.845,58,296,354,356,78,43,234,200,1114,13.1,0.504,0.352,0.163,2.9,16.2,9.2,29.1,1.8,1.9,17.5,27.5,5.258768264758724,-1.1284651100410386
105,Seth Curry,Forward,64,2135,360,739,0.487,158,374,0.422,202,365,0.553,0.594,82,94,0.872,21,179,200,230,53,14,109,148,960,13.7,0.615,0.506,0.127,1.1,9.1,5.2,16.3,1.2,0.6,12.3,18.5,2.1968030347371523,-1.861981439825181
106,Stephen Curry,Forward,64,2211,535,1224,0.437,285,750,0.38,250,474,0.527,0.554,275,298,0.923,34,301,335,404,85,23,206,130,1630,21.4,0.601,0.613,0.243,1.7,14.4,8.3,30.4,1.9,1.0,13.2,30.8,6.5069207538979,-4.099886712406396
107,Anthony Davis,Forward,40,1404,370,695,0.532,13,70,0.186,357,625,0.571,0.542,174,244,0.713,106,288,394,122,49,90,82,97,927,23.9,0.578,0.101,0.351,8.1,22.0,15.1,14.7,1.7,5.7,9.3,27.1,3.4592392195728503,2.5173907037183016
108,Ed Davis,Forward,31,201,11,16,0.688,0,0,0.0,11,16,0.688,0.688,6,14,0.429,14,50,64,7,3,9,5,33,28,9.3,0.632,0.0,0.875,7.9,26.9,17.6,4.5,0.7,4.0,18.4,6.0,-3.1116688761784688,0.8195595342511162
109,Terence Davis,Forward,30,536,113,267,0.423,49,149,0.329,64,118,0.542,0.515,36,44,0.818,11,83,94,40,25,11,33,70,311,14.6,0.543,0.558,0.165,2.2,17.0,9.5,11.9,2.2,1.8,10.3,25.6,-1.5356766330828981,-0.3521238395145403
110,Gabriel Deck,Forward,7,56,8,14,0.571,2,4,0.5,6,10,0.6,0.643,0,0,,1,5,6,5,1,0,2,2,18,11.5,0.643,0.286,0.0,1.8,9.3,5.5,13.7,0.9,0.0,12.5,12.3,-3.680586640105836,0.1553189408136048
111,Dewayne Dedmon,Forward,67,1065,164,290,0.566,19,47,0.404,145,243,0.597,0.598,75,100,0.75,105,281,386,47,24,42,70,174,422,15.9,0.632,0.162,0.345,11.4,29.4,20.6,6.7,1.1,4.2,17.3,16.9,0.9951504962114419,2.317071221959437
112,DeMar DeRozan,Forward,76,2743,774,1535,0.504,50,142,0.352,724,1393,0.52,0.521,520,593,0.877,56,336,392,374,68,24,181,178,2118,23.1,0.59,0.093,0.386,2.3,13.7,8.0,23.3,1.2,0.8,9.2,31.8,8.987335949065987,-0.6185671360568163
113,Mamadi Diakite,Forward,13,188,25,47,0.532,0,5,0.0,25,42,0.595,0.532,6,11,0.545,17,42,59,2,5,9,7,33,56,11.6,0.54,0.106,0.234,9.2,23.3,16.1,1.6,1.3,4.5,11.9,13.5,-3.061326256692681,0.5944655961224374
114,Cheick Diallo,Forward,3,31,3,8,0.375,0,0,0.0,3,8,0.375,0.375,5,6,0.833,4,8,12,0,1,0,1,6,11,12.3,0.517,0.0,0.75,13.3,29.4,20.9,0.0,1.6,0.0,8.6,16.1,-3.734741611407134,-0.2944537304562859
115,Hamidou Diallo,Forward,58,1269,261,526,0.496,23,93,0.247,238,433,0.55,0.518,91,140,0.65,69,208,277,73,71,17,58,143,636,15.7,0.541,0.177,0.266,5.6,18.7,11.8,9.8,2.7,1.2,9.0,21.8,1.4036390398155423,0.7928344603529308
116,Gorgui Dieng,Forward,44,371,53,112,0.473,29,68,0.426,24,44,0.545,0.603,19,26,0.731,32,89,121,34,11,13,20,52,154,17.3,0.624,0.607,0.232,9.5,26.1,17.8,12.7,1.5,3.1,13.9,16.9,-2.2150137136839296,0.3623201285913109
117,Donte DiVincenzo,Forward,42,1006,118,336,0.351,74,218,0.339,44,118,0.373,0.461,70,83,0.843,40,130,170,118,48,8,72,69,380,11.3,0.51,0.649,0.247,4.3,14.0,9.1,16.1,2.3,0.7,16.2,18.9,-0.3739255687036039,-1.0782477920093798
118,Luka Dončić,Forward,65,2301,641,1403,0.457,201,569,0.353,440,834,0.528,0.529,364,489,0.744,56,537,593,568,75,36,292,145,1847,25.1,0.571,0.406,0.349,2.7,26.0,14.3,46.0,1.6,1.4,15.3,37.4,9.523804648562288,-2.513609390165198
119,Luguentz Dort,Forward,51,1665,293,726,0.404,130,391,0.332,163,335,0.487,0.493,161,191,0.843,38,174,212,88,46,18,88,149,877,12.3,0.541,0.539,0.263,2.3,10.9,6.5,8.6,1.3,1.0,9.8,23.3,2.0537214119538625,-1.3530676075770525
120,Ayo Dosunmu,Forward,77,2110,278,535,0.52,70,186,0.376,208,349,0.596,0.585,53,78,0.679,27,187,214,256,60,29,108,182,679,11.2,0.596,0.348,0.146,1.4,9.9,5.7,16.5,1.4,1.2,15.9,14.1,1.782790078523346,-0.2978150161599109
121,Damyean Dotson,Forward,2,21,2,4,0.5,0,1,0.0,2,3,0.667,0.5,0,0,,0,2,2,1,0,0,0,0,4,6.4,0.5,0.25,0.0,0.0,10.4,5.1,6.9,0.0,0.0,0.0,8.3,-3.743611904713697,0.3292152668442927
122,Devon Dotson,Forward,11,85,11,23,0.478,2,9,0.222,9,14,0.643,0.522,5,9,0.556,1,8,9,15,1,0,5,11,29,9.8,0.538,0.391,0.391,1.3,10.5,6.0,23.9,0.6,0.0,15.6,16.6,-3.5173636739809755,0.2345208665249144
123,Sekou Doumbouya,Forward,2,16,5,8,0.625,1,2,0.5,4,6,0.667,0.688,3,4,0.75,2,4,6,0,3,2,2,1,14,40.7,0.717,0.25,0.5,13.5,26.8,20.2,0.0,9.0,11.1,17.0,31.6,-3.6323203560628214,0.3627690789011075
124,Jeff Dowtin,Forward,9,108,8,26,0.308,1,9,0.111,7,17,0.412,0.327,2,2,1.0,8,10,18,10,5,1,5,5,19,6.8,0.353,0.346,0.077,7.9,9.8,8.9,12.7,2.2,0.9,15.7,12.8,-3.590520855142126,-0.21511054312774727
125,PJ Dozier,Forward,18,340,36,99,0.364,15,48,0.313,21,51,0.412,0.439,10,13,0.769,14,49,63,29,11,6,13,33,97,8.7,0.463,0.485,0.131,4.8,15.6,10.3,11.3,1.6,1.6,11.0,15.2,-2.855413494932339,-0.2055283071157306
126,Goran Dragić,Forward,21,498,57,151,0.377,16,63,0.254,41,88,0.466,0.43,27,33,0.818,13,52,65,86,19,4,34,45,157,10.0,0.474,0.417,0.219,2.9,11.3,7.1,22.9,1.9,0.7,17.0,17.2,-2.2499099384866885,-0.347413481677827
127,Andre Drummond,Forward,73,1437,247,433,0.57,0,3,0.0,247,430,0.574,0.57,86,164,0.524,229,451,680,131,78,68,115,192,580,21.0,0.574,0.007,0.379,18.0,34.1,26.2,13.7,2.7,4.2,18.5,19.0,4.044732341928279,4.250335617060629
128,Chris Duarte,Forward,55,1541,268,621,0.432,94,255,0.369,174,366,0.475,0.507,90,112,0.804,41,185,226,114,56,10,90,95,720,12.3,0.537,0.411,0.18,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.1,1.2086819191380465,-0.9480648889612808
129,David Duke Jr.,Forward,22,341,39,108,0.361,9,37,0.243,30,71,0.423,0.403,17,21,0.81,30,37,67,17,14,7,9,36,104,10.0,0.444,0.343,0.194,9.8,11.5,10.7,6.6,2.0,1.8,7.1,15.9,-2.749023264470386,0.060572299952007566
130,Kris Dunn,Forward,14,336,44,102,0.431,1,11,0.091,43,91,0.473,0.436,17,18,0.944,9,40,49,79,23,3,32,38,106,12.5,0.482,0.108,0.176,2.8,13.6,8.0,35.1,3.3,0.9,22.5,18.3,-2.550466467919576,-0.17964831632632502
131,Kevin Durant,Forward,55,2047,578,1115,0.518,115,300,0.383,463,815,0.568,0.57,372,409,0.91,29,378,407,351,48,52,191,113,1643,25.6,0.634,0.269,0.367,1.6,19.6,10.8,29.1,1.1,2.3,12.9,31.2,6.715226389987769,-0.8905589795647809
132,Anthony Edwards,Forward,72,2466,549,1245,0.441,215,602,0.357,334,643,0.519,0.527,220,280,0.786,62,281,343,275,105,46,190,164,1533,16.5,0.56,0.484,0.225,2.6,12.5,7.5,17.4,2.0,1.8,12.2,26.4,6.43500612250838,-2.30586372534818
133,Carsen Edwards,Forward,4,79,9,30,0.3,4,16,0.25,5,14,0.357,0.367,1,1,1.0,2,4,6,14,2,0,5,4,23,5.5,0.378,0.533,0.033,2.6,5.8,4.1,26.2,1.2,0.0,14.1,19.2,-3.687399826786792,-0.47693786199302557
134,Kessler Edwards,Forward,48,987,110,267,0.412,48,136,0.353,62,131,0.473,0.502,16,19,0.842,44,128,172,31,29,24,42,85,284,8.3,0.516,0.509,0.071,5.0,13.8,9.5,4.1,1.4,2.2,13.2,13.8,-1.1438971399051103,0.23931000531189692
135,CJ Elleby,Forward,58,1174,121,308,0.393,37,126,0.294,84,182,0.462,0.453,60,84,0.714,66,161,227,87,35,19,56,116,339,9.2,0.491,0.409,0.273,6.0,15.6,10.6,10.6,1.5,1.6,14.0,14.8,-0.195736279182864,0.3970318237918255
136,Wayne Ellington,Forward,43,810,98,237,0.414,82,211,0.389,16,26,0.615,0.586,9,11,0.818,10,67,77,30,23,5,19,42,287,9.9,0.593,0.89,0.046,1.3,8.9,5.1,5.0,1.4,0.5,7.3,13.8,-2.0481871129740545,-0.6822008537060513
137,Joel Embiid,Forward,68,2297,666,1334,0.499,93,251,0.371,573,1083,0.529,0.534,654,803,0.814,146,650,796,284,77,99,214,181,2079,31.2,0.616,0.188,0.602,7.2,31.1,19.4,23.5,1.7,3.9,11.3,37.2,11.74186316439746,1.7953547811841253
138,James Ennis III,Forward,7,56,11,24,0.458,3,8,0.375,8,16,0.5,0.521,4,5,0.8,5,7,12,3,2,2,2,5,29,17.7,0.553,0.333,0.208,9.9,13.1,11.6,7.4,1.7,3.1,7.1,22.0,-3.604436722602334,-0.016104087211014636
139,Drew Eubanks,Forward,71,1245,221,371,0.596,5,23,0.217,216,348,0.621,0.602,99,130,0.762,130,252,382,85,31,40,81,122,546,18.0,0.638,0.062,0.35,11.0,22.2,16.5,10.1,1.2,2.8,15.9,17.5,1.4323988728446344,2.441171088507768
140,Tacko Fall,Forward,11,59,5,12,0.417,0,0,0.0,5,12,0.417,0.417,2,7,0.286,7,16,23,2,0,6,3,3,12,11.3,0.398,0.0,0.583,13.4,29.4,21.6,4.6,0.0,9.1,16.6,13.6,-3.628967536942291,-0.05148275303140016
141,Derrick Favors,Forward,39,653,94,182,0.516,2,16,0.125,92,166,0.554,0.522,16,25,0.64,58,126,184,25,17,12,9,62,206,13.6,0.534,0.088,0.137,9.0,20.2,14.5,5.9,1.3,1.7,4.5,13.4,-1.764570222045313,1.1028526024093341
142,Bruno Fernando,Forward,30,152,36,55,0.655,1,2,0.5,35,53,0.66,0.664,15,24,0.625,18,37,55,7,1,11,14,24,88,21.2,0.671,0.036,0.436,13.0,26.6,19.8,7.5,0.3,6.5,17.6,22.4,-2.944688948239516,0.7387769451795366
143,Dorian Finney-Smith,Forward,80,2644,326,692,0.471,172,435,0.395,154,257,0.599,0.595,56,83,0.675,122,253,375,150,88,39,80,183,880,12.5,0.604,0.629,0.12,5.1,10.7,7.9,8.2,1.7,1.3,9.9,13.8,3.1046341843375895,-0.1465989467893082
144,Malik Fitts,Forward,15,63,8,19,0.421,5,10,0.5,3,9,0.333,0.553,0,0,,2,15,17,5,0,0,2,4,21,10.7,0.553,0.526,0.0,3.5,25.2,14.7,12.7,0.0,0.0,9.5,14.6,-3.731003141770425,-0.4625406731008788
145,Malachi Flynn,Forward,44,537,72,183,0.393,30,90,0.333,42,93,0.452,0.475,15,24,0.625,10,53,63,70,20,4,13,45,189,11.7,0.488,0.492,0.131,1.9,11.3,6.4,18.5,1.9,0.7,6.3,16.5,-2.341783596787976,-0.4931768930510744
146,Bryn Forbes,Forward,75,1286,231,539,0.429,122,295,0.414,109,244,0.447,0.542,79,87,0.908,10,83,93,75,25,5,56,95,663,11.5,0.574,0.547,0.161,0.9,6.9,3.9,8.3,0.9,0.3,8.8,21.2,-0.17077703947427275,-1.7238462312076965
147,Aleem Ford,Forward,5,74,6,20,0.3,2,15,0.133,4,5,0.8,0.35,0,0,,2,13,15,2,1,0,4,7,14,0.5,0.35,0.75,0.0,2.8,18.6,10.7,3.8,0.7,0.0,16.7,14.0,-3.543858449874697,0.640113192034856
148,Trent Forrest,Forward,60,765,76,155,0.49,5,27,0.185,71,128,0.555,0.506,38,48,0.792,23,76,99,106,30,6,48,43,195,10.9,0.554,0.174,0.31,3.4,10.5,7.1,18.6,1.9,0.7,21.4,12.8,-1.735537507492226,0.10602838588794253
149,Evan Fournier,Forward,80,2358,402,965,0.417,241,619,0.389,161,346,0.465,0.541,80,113,0.708,34,176,210,171,79,20,105,180,1125,12.3,0.554,0.641,0.117,1.5,8.2,4.8,11.9,1.7,0.8,9.4,20.8,3.1389222005349104,-2.9802057888615896
150,De'Aaron Fox,Forward,59,2083,516,1092,0.473,74,249,0.297,442,843,0.524,0.506,261,348,0.75,25,206,231,330,68,25,168,172,1367,17.4,0.549,0.228,0.319,1.3,10.9,6.0,26.8,1.6,1.0,11.9,29.1,5.231211207484774,-1.2851529414252882
151,Melvin Frazier,Forward,3,120,13,48,0.271,1,21,0.048,12,27,0.444,0.281,5,7,0.714,5,8,13,1,1,0,3,8,32,-0.4,0.313,0.438,0.146,4.2,7.0,5.6,1.2,0.4,0.0,5.5,19.5,-3.591392668824656,-0.18577004600273098
152,Tim Frazier,Forward,12,208,14,45,0.311,6,17,0.353,8,28,0.286,0.378,5,9,0.556,5,14,19,34,3,1,15,27,39,3.3,0.398,0.378,0.2,2.5,7.1,4.8,22.5,0.7,0.4,23.5,13.3,-3.3845465136553576,-0.6181031570872277
153,Enes Freedom,Forward,35,411,51,97,0.526,2,5,0.4,49,92,0.533,0.536,24,28,0.857,61,99,160,8,5,14,20,42,128,15.0,0.585,0.052,0.289,16.5,25.4,21.0,2.7,0.6,3.1,15.5,13.9,-2.2263750202914103,1.0876589333720363
154,Markelle Fultz,Forward,18,360,83,175,0.474,4,17,0.235,79,158,0.5,0.486,25,31,0.806,4,45,49,99,20,5,40,22,195,17.7,0.517,0.097,0.177,1.2,13.2,7.2,48.9,2.7,1.3,17.5,27.5,-2.2506717878098588,-0.24688579816508702
155,Wenyen Gabriel,Forward,26,358,54,110,0.491,8,28,0.286,46,82,0.561,0.527,25,42,0.595,39,58,97,14,5,11,16,68,141,12.5,0.549,0.255,0.382,11.8,17.2,14.5,5.6,0.7,2.7,11.1,17.4,-2.322871805590049,0.6953822530424424
156,Daniel Gafford,Forward,72,1444,285,411,0.693,0,1,0.0,285,410,0.695,0.693,107,153,0.699,155,252,407,68,30,99,65,170,677,21.8,0.708,0.002,0.372,12.1,19.0,15.6,7.3,1.0,5.8,12.0,16.7,2.5096740170296394,4.060865334248378
157,Danilo Gallinari,Forward,66,1672,259,597,0.434,112,294,0.381,147,303,0.485,0.528,141,156,0.904,35,273,308,101,28,12,38,93,771,14.3,0.579,0.492,0.261,2.3,17.8,10.1,8.5,0.8,0.6,5.4,18.4,1.2370000107356727,-0.7513965164774226
158,Langston Galloway,Forward,7,107,6,26,0.231,2,16,0.125,4,10,0.4,0.269,0,0,,3,15,18,12,1,0,6,7,14,0.7,0.269,0.615,0.0,3.1,14.7,9.0,13.7,0.4,0.0,18.8,12.8,-3.647504872253934,-0.3084116462192661
159,Darius Garland,Forward,68,2430,542,1173,0.462,174,454,0.383,368,719,0.512,0.536,215,241,0.892,39,185,224,583,89,7,248,115,1473,19.0,0.576,0.387,0.205,1.8,8.2,5.1,39.9,1.8,0.3,16.2,27.8,5.90329138879976,-3.5400499197068838
160,Marcus Garrett,Forward,12,128,5,21,0.238,1,4,0.25,4,17,0.235,0.262,2,5,0.4,9,14,23,7,5,3,2,16,13,4.7,0.28,0.19,0.238,8.1,12.2,10.2,7.0,2.0,2.5,7.9,8.8,-3.6073865387997985,-0.5333284021518137
161,Usman Garuba,Forward,24,239,19,44,0.432,5,20,0.25,14,24,0.583,0.489,5,7,0.714,21,62,83,17,10,11,6,28,48,12.9,0.51,0.455,0.159,9.6,28.7,19.1,9.6,2.0,4.1,11.3,9.4,-2.936483854744547,0.5721475054094592
162,Luka Garza,Forward,32,389,66,147,0.449,16,49,0.327,50,98,0.51,0.503,38,61,0.623,58,42,100,20,9,6,18,55,186,15.6,0.535,0.333,0.415,15.3,12.3,13.9,8.3,1.1,1.4,9.4,21.1,-2.1347390190813487,0.4709481198863803
163,Rudy Gay,Forward,55,1038,157,379,0.414,70,203,0.345,87,176,0.494,0.507,62,79,0.785,55,187,242,56,25,19,47,95,446,13.0,0.539,0.536,0.208,6.0,19.1,12.8,7.8,1.2,1.6,10.2,19.3,-0.15847178484562463,0.07288558690575306
164,Paul George,Forward,31,1077,268,636,0.421,91,257,0.354,177,379,0.467,0.493,127,148,0.858,12,201,213,176,67,13,126,74,754,18.6,0.538,0.404,0.233,1.2,19.2,10.5,28.1,3.0,1.0,15.2,33.7,1.683345452080583,-1.4789949375621918
165,Taj Gibson,Forward,52,946,86,166,0.518,15,38,0.395,71,128,0.555,0.563,42,52,0.808,88,141,229,32,22,40,27,137,229,12.0,0.606,0.229,0.313,9.8,16.3,13.0,4.9,1.2,4.2,12.5,10.0,-0.7157878582959055,1.7917498431616838
166,Josh Giddey,Forward,54,1700,281,670,0.419,56,213,0.263,225,457,0.492,0.461,56,79,0.709,98,323,421,345,51,20,171,88,674,13.3,0.478,0.318,0.118,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,2.7172574093666655,0.03501256743933953
167,Shai Gilgeous-Alexander,Forward,56,1942,477,1052,0.453,89,297,0.3,388,755,0.514,0.496,328,405,0.81,37,241,278,331,71,46,154,142,1371,20.9,0.557,0.282,0.385,1.9,13.0,7.4,31.1,1.8,2.2,11.1,30.8,5.65327866149182,-1.0690846962109393
168,Anthony Gill,Forward,44,463,62,109,0.569,14,26,0.538,48,83,0.578,0.633,42,52,0.808,33,52,85,27,5,11,18,58,180,14.7,0.682,0.239,0.477,8.0,12.2,10.2,8.3,0.5,2.0,12.0,14.4,-2.2501446786062838,0.5507004078378452
169,Freddie Gillespie,Forward,9,119,9,22,0.409,0,1,0.0,9,21,0.429,0.409,3,7,0.429,13,23,36,5,3,9,5,18,21,9.5,0.419,0.045,0.318,11.5,20.5,16.0,5.9,1.2,6.9,16.6,10.9,-3.406832963240621,0.10720532343492817
170,Rudy Gobert,Forward,66,2120,362,508,0.713,0,4,0.0,362,504,0.718,0.713,303,439,0.69,241,727,968,72,45,137,119,176,1027,24.7,0.732,0.008,0.864,12.9,36.3,25.0,5.1,1.0,5.7,14.5,16.9,7.22030553619936,6.540485496564846
171,Brandon Goodwin,Forward,36,502,64,154,0.416,19,55,0.345,45,99,0.455,0.477,24,38,0.632,14,53,67,91,25,1,36,39,171,11.8,0.501,0.357,0.247,3.1,11.4,7.4,26.0,2.5,0.2,17.4,18.2,-2.187293398689235,-0.45582863703810333
172,Jordan Goodwin,Forward,2,6,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,1,1,0,0,0,0,1,0,-20.4,0.0,0.333,0.0,0.0,18.2,9.2,0.0,0.0,0.0,0.0,22.2,-4.010016828710251,-1.234167009006382
173,Aaron Gordon,Forward,75,2376,434,834,0.52,87,260,0.335,347,574,0.605,0.573,171,230,0.743,125,314,439,188,44,44,133,148,1126,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,4.353519174207212,0.9675710617341603
174,Eric Gordon,Forward,57,1669,268,564,0.475,124,301,0.412,144,263,0.548,0.585,105,135,0.778,15,98,113,154,28,18,107,63,765,12.1,0.614,0.534,0.239,1.0,6.5,3.7,14.1,0.8,1.0,14.6,18.6,0.7422886265088745,-1.5764881001262814
175,Devonte' Graham,Forward,76,2162,296,815,0.363,192,563,0.341,104,252,0.413,0.481,118,140,0.843,37,140,177,316,71,12,105,95,902,12.1,0.514,0.691,0.172,1.9,7.3,4.5,21.0,1.6,0.5,10.7,19.5,2.363424212610744,-3.217701940522796
176,Jerami Grant,Forward,47,1500,298,699,0.426,91,254,0.358,207,445,0.465,0.491,217,259,0.838,28,163,191,111,44,49,85,107,904,16.1,0.556,0.363,0.371,1.9,12.4,6.9,12.5,1.4,2.9,9.5,25.7,2.3187484849282822,-0.5789542200146441
177,Hassani Gravett,Forward,8,171,18,38,0.474,11,26,0.423,7,12,0.583,0.618,3,4,0.75,1,20,21,20,5,1,9,13,50,10.1,0.629,0.684,0.105,0.6,12.4,6.5,17.0,1.4,0.5,18.5,12.3,-3.374483778613307,0.0068944598323883765
178,Danny Green,Forward,62,1353,126,320,0.394,103,271,0.38,23,49,0.469,0.555,11,14,0.786,32,125,157,64,60,37,45,105,366,9.5,0.561,0.847,0.044,2.7,10.1,6.5,6.5,2.2,2.5,12.1,12.3,-0.4674700316207858,-0.5764886364694825
179,Draymond Green,Forward,46,1329,135,257,0.525,16,54,0.296,119,203,0.586,0.556,60,91,0.659,45,291,336,320,61,50,139,136,346,14.3,0.582,0.21,0.354,3.8,23.2,13.8,32.5,2.2,3.6,31.9,14.3,1.6125161123822747,0.9609776306797679
180,Jalen Green,Forward,67,2138,406,954,0.426,157,458,0.343,249,496,0.502,0.508,188,236,0.797,33,193,226,176,44,18,135,103,1157,12.5,0.547,0.48,0.247,1.7,10.0,5.8,13.1,1.0,0.8,11.3,23.7,3.2491526155550385,-2.0739421872147
181,JaMychal Green,Forward,67,1085,159,327,0.486,33,124,0.266,126,203,0.621,0.537,81,93,0.871,81,200,281,59,43,26,57,158,432,14.1,0.587,0.379,0.284,8.6,19.9,14.5,7.6,1.9,2.2,13.4,17.2,0.5856614656250584,1.2494022670565317
182,Javonte Green,Forward,65,1519,176,325,0.542,36,101,0.356,140,224,0.625,0.597,80,96,0.833,91,185,276,60,67,32,30,132,468,14.0,0.637,0.311,0.295,6.8,13.6,10.2,5.3,2.2,1.8,7.6,11.5,0.6733347908120128,1.38063973136214
183,Jeff Green,Forward,75,1849,277,529,0.524,53,168,0.315,224,361,0.62,0.574,165,198,0.833,41,190,231,96,28,27,71,151,772,12.5,0.627,0.318,0.374,2.6,11.1,7.0,7.3,0.7,1.3,10.3,16.3,1.6018736697147324,0.3858230057512088
184,Josh Green,Forward,67,1039,130,256,0.508,28,78,0.359,102,178,0.573,0.563,31,45,0.689,52,109,161,79,45,14,44,115,319,11.9,0.578,0.305,0.176,5.6,11.7,8.6,11.0,2.2,1.2,13.8,13.9,-0.7008326420497065,0.5046588291432359
185,Blake Griffin,Forward,56,958,133,313,0.425,38,145,0.262,95,168,0.565,0.486,55,76,0.724,60,168,228,105,27,14,31,95,359,13.7,0.518,0.463,0.243,7.0,18.6,13.0,15.0,1.4,1.3,8.2,16.9,-0.4371064285139687,0.4810667016862265
186,Quentin Grimes,Forward,46,786,95,235,0.404,72,189,0.381,23,46,0.5,0.557,13,19,0.684,24,70,94,44,31,11,28,72,275,10.7,0.565,0.804,0.081,3.2,9.8,6.4,8.5,2.0,1.4,10.3,15.1,-1.6858994631910624,-0.6032541680552834
187,Kyle Guy,Forward,19,186,26,65,0.4,14,40,0.35,12,25,0.48,0.508,8,12,0.667,4,13,17,17,7,1,13,12,74,9.5,0.526,0.615,0.185,2.5,7.8,5.2,13.5,1.9,0.6,15.6,19.9,-3.2887056859457022,-0.2982182095258459
188,Rui Hachimura,Forward,42,943,187,381,0.491,55,123,0.447,132,258,0.512,0.563,46,66,0.697,25,135,160,48,23,9,33,53,475,14.9,0.579,0.323,0.173,3.0,15.6,9.4,7.9,1.2,0.8,7.4,20.9,-0.8765235007419953,-0.2041201467311932
189,R.J. Hampton,Forward,64,1402,175,457,0.383,64,183,0.35,111,274,0.405,0.453,75,117,0.641,23,171,194,158,42,13,87,101,489,8.5,0.481,0.4,0.256,1.7,12.9,7.3,16.9,1.4,0.8,14.6,18.4,0.40110241314924705,-0.8836929330330735
190,Tim Hardaway Jr.,Forward,42,1245,209,530,0.394,102,304,0.336,107,226,0.473,0.491,78,103,0.757,13,143,156,92,38,6,34,74,598,12.7,0.52,0.574,0.194,1.2,12.8,7.0,11.4,1.5,0.4,5.6,22.0,-0.06167856429903774,-1.385267303984469
191,James Harden,Forward,65,2419,407,992,0.41,148,448,0.33,259,544,0.476,0.485,470,536,0.877,55,445,500,667,82,36,284,153,1432,20.9,0.583,0.452,0.54,2.6,19.7,11.3,40.3,1.7,1.3,18.8,27.2,8.497037212395425,-2.4777976924092333
192,Maurice Harkless,Forward,47,863,83,181,0.459,31,101,0.307,52,80,0.65,0.544,20,28,0.714,12,100,112,23,29,24,31,77,217,7.7,0.561,0.558,0.155,1.5,12.7,7.1,3.6,1.6,2.4,13.8,11.2,-1.6503129657236315,0.47745538487628
