Year,TotalC,DrinkC
2012,195723 ,9930 
2013,183670 ,8270 
2014,194477 ,8210 
2015,186189 ,8470 
2016,181384 ,9040 
2017,170993 ,8600 
2018,160597 ,8680 
2019,153158 ,7800 
2020,115584 ,6480 
