,company,revenues,revenue_change,profits,assets,industry,sector,country,employees,total_stockholder_equity,Component 1,Component 2
146,Prudential Financial,58779,2.9,4368.0,783962,"Insurance: Life, Health (stock)",Financials,USA,49739,45863,0.615334294757136,-0.9669604187061887
147,Vodafone Group,58611,-5.0,-6904.0,165420,Telecommunications,Telecommunications,Britain,111556,77211,-0.41704738119347307,0.4239052126061375
148,Unilever,58292,-1.4,5732.7,59512,Household and Personal Products,Household Products,Britain,168832,17247,0.031613346004327296,0.29421947485943917
149,Banco do Brasil,58093,-13.4,2013.8,426416,Banks: Commercial and Savings,Financials,Brazil,100622,26551,-0.013638642022358868,-0.10802993016832742
150,Pemex,57774,-21.4,-10256.3,113115,"Mining, Crude-Oil Production",Energy,Mexico,125689,-59909,-2.383960477002817,1.3864917190770385
151,Telefonica,57544,-5.5,2619.7,130396,Telecommunications,Telecommunications,Spain,127323,19149,-0.25737514585136767,0.24163127990932962
152,Banco Bradesco,57443,31.3,5127.9,366418,Banks: Commercial and Savings,Financials,Brazil,94541,32369,0.2119346805193769,-0.535978270104214
153,United Technologies,57244,-6.2,5055.0,89706,Aerospace and Defense,Aerospace & Defense,USA,201600,27579,0.18351647966103782,0.4005667321500276
154,ArcelorMittal,56791,-10.7,1779.0,75142,Metals,Materials,Luxembourg,198517,30135,-0.10163251313734563,0.5933472571979242
155,Renault,56667,12.7,3780.9,107681,Motor Vehicles and Parts,Motor Vehicles & Parts,France,124849,32423,-0.047926703572555206,0.019254955983290564
156,Rosneft Oil,56553,-12.7,2705.1,180756,Petroleum Refining,Energy,Russia,295800,54227,0.5634596457959204,0.7155128616920718
157,Shandong Weiqiao Pioneering Group,56174,5.9,1217.2,31641,Textiles,Industrials,China,135393,9438,-0.5980736884912503,0.4099370035442531
158,Marathon Petroleum,55858,-13.5,1174.0,44413,Petroleum Refining,Energy,USA,44460,13557,-0.7056100410394841,0.14543344372353634
159,Disney,55632,6.0,9391.0,92033,Entertainment,Media,USA,195000,43265,0.7252093617849265,-0.01744918791705493
160,Aviation Industry Corp. of China,55306,-8.2,464.2,124892,Aerospace and Defense,Aerospace & Defense,China,457097,24345,0.263587154367248,1.6009860120928447
161,ING Group,55282,-16.5,5501.6,888226,Banks: Commercial and Savings,Financials,Netherlands,51943,49839,0.8501132058544053,-1.0611139283349162
162,Mitsubishi UFJ Financial Group,55185,15.9,8550.1,2722354,Banks: Commercial and Savings,Financials,Japan,115276,110573,3.4880267454939453,-3.3002349779386777
163,Royal Ahold Delhaize,54955,29.7,917.9,38257,Food and Drug Stores,Food & Drug Stores,Netherlands,225000,17165,-0.3860357067131464,0.5772219892565108
164,Humana,54379,0.2,614.0,25396,Health Care: Insurance and Managed Care,Health Care,USA,51600,10685,-0.8258065012772582,0.1394985763745246
165,Seven & I Holdings,53858,7.5,892.9,49244,Food and Drug Stores,Food & Drug Stores,Japan,54712,20086,-0.6751034202638316,0.02374679100795881
166,Indian Oil,53562,-2.1,2960.0,42132,Petroleum Refining,Energy,India,34999,15724,-0.575806969418883,-0.08432058733308835
167,Roche Group,53427,2.0,9719.9,75609,Pharmaceuticals,Health Care,Switzerland,94052,23534,0.2784770389800306,-0.3187120310971838
168,HNA Group,53035,79.4,278.9,173095,Airlines,Transportation,China,220258,14096,-0.46375542807052383,0.15668389818967865
169,Bank of Communications,52990,-7.1,10116.9,1209176,Banks: Commercial and Savings,Financials,China,95160,90531,2.0866788318780296,-1.7235182604692918
170,CITIC Group,52852,-5.5,3236.3,938261,Diversified Financials,Financials,China,201263,41784,0.8559518784727894,-0.4705167952732865
171,Pfizer,52824,8.1,7215.0,171615,Pharmaceuticals,Health Care,USA,96500,59544,0.5570966041263724,-0.4657602125275102
172,Bayer,52569,0.3,5010.6,86731,Pharmaceuticals,Health Care,Germany,115170,31990,-0.002559978124519656,-0.026866564293844337
173,AIG,52367,-10.2,-849.0,498264,Insurance: Property and Casualty (Stock),Financials,USA,56400,76300,0.23530257999360404,-0.47970625277420703
174,America Movil,52201,-7.4,462.9,73555,Telecommunications,Telecommunications,Mexico,194193,10143,-0.5240476706813652,0.6719826204309496
175,Korea Electric Power,51500,-0.6,6074.1,147265,Utilities,Energy,South Korea,43688,59394,0.3205870443529369,-0.5415995160918708
176,Lockheed Martin,50658,9.8,5302.0,47806,Aerospace and Defense,Aerospace & Defense,USA,97000,1511,-0.44661406039220464,-0.01758604567559138
177,Sysco,50367,3.5,949.6,16722,Wholesalers: Food and Grocery,Wholesalers,USA,51900,3480,-0.9333616106768493,0.10425246502528401
178,FedEx,50365,6.1,1820.0,46064,"Mail, Package, and Freight Delivery",Transportation,USA,335767,13784,-0.12437259701957634,1.0556189645363936
179,Louis Dreyfus Company,49838,-10.6,305.0,19843,Food Production,"Food, Beverages & Tobacco",Netherlands,17407,5115,-1.027114792930502,0.07567283175178428
180,Amer International Group,49677,3.9,1199.9,18405,"Electronics, Electrical Equip.",Technology,China,17852,10005,-0.9075318818402158,-0.07823603247842534
181,Petronas,49479,-22.0,4092.9,134528,Petroleum Refining,Energy,Malaysia,51034,84800,0.4602058425263394,-0.3929635646188562
182,Tokyo Electric Power,49446,-2.2,1225.7,110202,Utilities,Energy,Japan,42060,20905,-0.640593980094791,-0.09254806546115509
183,Novartis,49436,-3.1,6712.0,130124,Pharmaceuticals,Health Care,Switzerland,118393,74832,0.6877279823665949,-0.3430163319428564
184,Cisco Systems,49247,0.2,10739.0,121652,Network and Other Communications Equipment,Technology,USA,73700,63586,0.8139037960678295,-0.6983213719768575
185,MS&AD Insurance Group Holdings,49239,17.9,1942.2,190596,Insurance: Property and Casualty (Stock),Financials,Japan,40641,12793,-0.6378102488536409,-0.30541589737126673
186,Deutsche Bank,48876,-6.8,-1550.4,1677437,Banks: Commercial and Savings,Financials,Germany,99744,63102,1.0505565064497813,-1.4711313293771209
187,PowerChina,48869,7.2,1057.6,86687,"Engineering, Construction",Engineering & Construction,China,187813,9990,-0.526394229766099,0.48425347761900667
188,JBS,48825,-0.1,107.7,31605,Food Production,"Food, Beverages & Tobacco",Brazil,237061,7307,-0.5811899160881159,0.8349795083185829
189,PTT,48719,-17.7,2681.6,62349,Petroleum Refining,Energy,Thailand,24934,21309,-0.5646512193963533,-0.10538464271668457
190,Tokio Marine Holdings,48292,26.6,2527.4,202923,Insurance: Property and Casualty (Stock),Financials,Japan,38842,16474,-0.5542554783042472,-0.43295033365327834
191,HP,48238,-53.3,2496.0,29010,"Computers, Office Equipment",Technology,USA,49000,-3889,-0.8222187622845578,0.3447537575946453
192,RWE,48204,-6.6,-6249.1,80576,Utilities,Energy,Germany,58652,3898,-1.5259772774075686,0.4945814193324314
193,Dow Chemical,48158,-1.3,4318.0,79511,Chemicals,Chemicals,USA,56000,25987,-0.30790104611771246,-0.2153644480156822
194,Finatis,48154,-7.3,687.8,46270,Food and Drug Stores,Food & Drug Stores,France,232503,744,-0.6017845800194834,0.8353347262223587
195,Wesfarmers,48003,-7.6,296.1,30358,Food and Drug Stores,Food & Drug Stores,Australia,220000,17083,-0.4799304012963544,0.7557326600941285
196,Sinopharm,47810,7.9,504.0,36767,Pharmaceuticals,Health Care,China,106772,5658,-0.8493504138601948,0.25879181769883397
197,CNP Assurances,47804,-3.0,1327.3,442027,"Insurance: Life, Health (stock)",Financials,France,5035,18491,-0.47357365234004783,-0.5777973980477092
198,LG Electronics,47712,-4.6,66.2,31348,"Electronics, Electrical Equip.",Technology,South Korea,75000,9926,-0.8917792118380063,0.22145412099571912
199,Sumitomo Mitsui Financial Group,47375,19.2,6520.5,1775349,Banks: Commercial and Savings,Financials,Japan,77205,72876,1.8916733476993426,-2.306300700014124
200,Reliance Industries,46931,8.0,4458.9,108856,Petroleum Refining,Energy,India,140483,40614,0.05569217222564289,-0.058159344448049044
201,China Baowu Steel Group,46606,-11.5,442.8,106725,Metals,Materials,China,169344,35728,-0.2896344986709933,0.4065666586076552
202,Noble Group,46528,-30.3,8.7,12285,Trading,Wholesalers,China,1000,3974,-1.1146109620490732,0.12699181880813992
203,Anheuser-Busch InBev,45905,5.3,1241.0,258381,Beverages,"Food, Beverages & Tobacco",Belgium,206633,71339,0.38870745137336815,0.09401122022501078
204,Statoil,45873,-23.4,-2902.0,104530,Petroleum Refining,Energy,Norway,20539,35072,-0.9020889054821758,0.08700479584154683
205,POSCO,45621,-11.8,1167.5,66361,Metals,Materials,South Korea,31768,35057,-0.5577489451948647,-0.12376200013989877
206,Kia Motors,45425,3.7,2373.8,42141,Motor Vehicles and Parts,Motor Vehicles & Parts,South Korea,51357,22010,-0.6082831282479152,-0.12803577577721115
207,Orange,45249,1.3,3245.7,99840,Telecommunications,Telecommunications,France,155202,32365,-0.13996135466001303,0.13234391662094325
208,ChemChina,45177,9.1,17.9,54341,Chemicals,Chemicals,China,110614,3462,-0.9254562131327099,0.259369030602647
209,Deutsche Bahn,44850,0.1,768.6,59716,Railroads,Transportation,Germany,306368,13246,-0.32268526069709885,0.9719114515999222
210,Continental,44842,3.0,3099.1,38151,Motor Vehicles and Parts,Motor Vehicles & Parts,Germany,220137,15050,-0.2874750182985047,0.5116030593275256
211,HCA Holdings,44747,2.7,2890.0,33758,Health Care: Medical Facilities,Health Care,USA,210500,-7302,-0.6011567018862733,0.5865049497336872
212,Itochu,44654,5.5,3250.6,72902,Trading,Wholesalers,Japan,110207,21559,-0.39696702166471964,0.0024442167982563975
213,China Merchants Bank,44552,-8.1,9344.8,855070,Banks: Commercial and Savings,Financials,China,70461,57896,1.1907563748399468,-1.351398668742575
214,State Bank of India,44533,6.8,36.0,530590,Banks: Commercial and Savings,Financials,India,278872,33450,0.18133648901340724,0.2990408941790971
215,Woolworths,43925,-13.2,-898.3,17495,Food and Drug Stores,Food & Drug Stores,Australia,205000,6305,-0.7941191689210803,0.816756802657602
216,KDDI,43822,17.8,5045.1,56223,Telecommunications,Telecommunications,Japan,35032,31904,-0.3012462135609409,-0.491232080090014
217,Swiss Re,43786,22.6,3558.0,215065,Insurance: Property and Casualty (Stock),Financials,Switzerland,14053,35634,-0.30851738529000283,-0.6968663734900635
218,HBIS Group,43769,-3.3,-146.8,51858,Metals,Materials,China,125552,7693,-0.8580566516133562,0.3703382582988084
219,CEFC China Energy,43743,4.5,740.9,22578,Energy,Energy,China,29637,3916,-1.0552240781269766,-0.046233872818940404
220,Banco Bilbao Vizcaya Argentaria,43698,1.7,3842.8,771837,Banks: Commercial and Savings,Financials,Spain,134792,49952,0.6332080423124666,-0.7533326341046017
221,ThyssenKrupp,43589,-11.0,328.6,39411,Metals,Materials,Germany,156487,2362,-0.8175049956922844,0.5423451471761853
222,Saint-Gobain,43231,-6.4,1449.8,46158,"Building Materials, Glass",Materials,France,172696,19790,-0.4749349643924393,0.43174676757316804
223,Lenovo Group,43035,-4.2,535.1,27186,"Computers, Office Equipment",Technology,China,52000,3224,-1.0279370905614018,0.09384375816474178
224,Vinci,42771,-1.9,2770.1,71642,"Engineering, Construction",Engineering & Construction,France,183487,17365,-0.35079534191804757,0.3546095736513879
225,Nippon Steel & Sumitomo Metal,42757,4.6,1208.5,65182,Metals,Materials,Japan,100169,23555,-0.6039989363720899,0.06180752581520717
226,Bunge,42679,-1.8,745.0,19188,Food Production,"Food, Beverages & Tobacco",USA,32000,7144,-1.0159154543525415,-0.02038927718297171
227,Industrial Bank,42622,-8.2,8105.9,875731,Banks: Commercial and Savings,Financials,China,56236,50382,0.9557340688477596,-1.3452278259111474
228,E.ON,42213,-67.3,-9344.4,67179,Energy,Energy,Germany,43138,-1113,-1.8906838347466082,0.9419248453580682
229,Sberbank,42159,-7.6,8078.0,415730,Banks: Commercial and Savings,Financials,Russia,325075,46182,1.0638588686147121,0.1640425626929385
230,China Shipbuilding Industry,42149,17.0,485.8,69621,Industrial Machinery,Industrials,China,182129,17789,-0.5901485640513908,0.35589579397242477
231,Christian Dior,42113,0.5,1740.3,69870,Apparel,Apparel,France,120479,12293,-0.6469939386455589,0.17208634641439374
232,Coca-Cola,41863,-5.5,6527.0,87270,Beverages,"Food, Beverages & Tobacco",USA,100300,23062,-0.1010510396740696,-0.1959754448999623
233,Denso,41781,10.9,2377.6,46233,Motor Vehicles and Parts,Motor Vehicles & Parts,Japan,154493,29735,-0.3448062726936159,0.15270312272193942
234,Fujitsu,41620,5.4,816.7,28646,Information Technology Services,Technology,Japan,155069,7910,-0.759272460667593,0.38170090689332814
235,Guangzhou Automobile Industry Group,41560,20.7,551.9,30267,Motor Vehicles and Parts,Motor Vehicles & Parts,China,75908,3791,-1.0157861517362596,0.017260300578945797
236,Wilmar International,41402,6.8,972.2,37032,Food Production,"Food, Beverages & Tobacco",Singapore,90000,14435,-0.796903732443027,0.0772168766567114
237,Sanofi,41376,-0.2,5207.4,110390,Pharmaceuticals,Health Care,France,113816,60698,0.2692892724778722,-0.29208973070700167
238,China United Network Communications,41274,-6.4,23.2,88626,Telecommunications,Telecommunications,China,253724,11152,-0.5269416942356914,0.7949302811173183
239,Sumitomo Life Insurance,40921,31.6,517.5,308346,"Insurance: Life, Health (Mutual)",Financials,Japan,42245,8491,-0.8189253813918024,-0.4832703527287385
240,New York Life Insurance,40787,-11.1,1088.1,287196,"Insurance: Life, Health (Mutual)",Financials,USA,11320,20108,-0.6517514326762119,-0.4086360956171557
241,Centene,40721,78.6,562.0,20197,Health Care: Insurance and Managed Care,Health Care,USA,30500,5895,-1.177038739542403,-0.5075725796493183
242,Shanghai Pudong Development Bank,40689,-3.2,7992.8,842832,Banks: Commercial and Savings,Financials,China,52832,52946,0.9159299279328443,-1.3775811617769522
243,Hanwha,40606,11.0,423.7,128247,"Insurance: Life, Health (stock)",Financials,South Korea,49000,3650,-0.9988409104430739,-0.1293538709724869
244,Tata Motors,40329,-4.2,1111.6,42162,Motor Vehicles and Parts,Motor Vehicles & Parts,India,79558,8942,-0.863786978046295,0.10288238095164855
245,Aluminum Corp. of China,40278,6.0,-282.5,75089,Metals,Materials,China,121146,2669,-0.9679942447106717,0.2703235864797454
246,Mitsui,40275,1.6,2825.3,103231,Trading,Wholesalers,Japan,42316,33500,-0.4437506167073843,-0.33458775429926946
247,Manulife Financial,40238,49.4,2209.7,537461,"Insurance: Life, Health (stock)",Financials,Canada,34500,31197,-0.24396009365947796,-1.0466378007849715
248,China Minsheng Banking,40234,-5.2,7201.6,848389,Banks: Commercial and Savings,Financials,China,58720,49297,0.8144579208594808,-1.2945309217706018
249,China Pacific Insurance (Group),40193,2.2,1814.9,146873,"Insurance: Life, Health (stock)",Financials,China,97032,18960,-0.5644755221723535,-0.056753466728474936
250,American Airlines Group,40180,-2.0,2676.0,51274,Airlines,Transportation,USA,122300,3785,-0.6922970318543084,0.17977008845865186
251,Nationwide,40074,-0.4,334.3,197790,Insurance: Property and Casualty (Mutual),Financials,USA,34320,15537,-0.8250054547876622,-0.2394056967000377
252,Merck,39807,0.8,3920.0,95377,Pharmaceuticals,Health Care,USA,68000,40088,-0.22144096405429184,-0.3154639503533529
253,Cigna,39668,4.7,1867.0,59360,Health Care: Insurance and Managed Care,Health Care,USA,41000,13723,-0.820303585156341,-0.18289026196679561
254,Delta Air Lines,39639,-2.6,4373.0,51261,Airlines,Transportation,USA,83756,12287,-0.5183246037842646,-0.09800903135211692
255,Best Buy,39403,-0.9,1228.0,13856,Specialty Retailers,Retailing,USA,125000,4709,-0.8483294230141861,0.289116998734489
256,China National Building Material Group,39323,24.0,74.5,81224,"Building Materials, Glass",Materials,China,228448,5822,-0.7050416115758665,0.5265822101004616
257,Honeywell International,39302,1.9,4809.0,54146,"Electronics, Electrical Equip.",Technology,USA,131000,19369,-0.3026121843300426,-0.003648827954651753
258,JD.com,39155,35.7,-573.0,23077,Internet Services and Retailing,Technology,China,120622,4877,-1.0634083392567053,0.14070081761053946
259,Mitsubishi Electric,39119,6.9,1942.6,37519,"Electronics, Electrical Equip.",Technology,Japan,138700,18307,-0.5837487126808588,0.17184174196488253
260,ZF Friedrichshafen,38888,20.2,949.9,30719,Motor Vehicles and Parts,Motor Vehicles & Parts,Germany,136820,6134,-0.8513738765415215,0.19624562126503883
261,Caterpillar,38537,-18.0,-67.0,74704,Construction and Farm Machinery,Industrials,USA,95400,13137,-0.860081568251259,0.24170513441883149
262,Liberty Mutual Insurance Group,38308,-2.9,1006.0,125592,Insurance: Property and Casualty (Stock),Financials,USA,50000,20366,-0.74778260517284,-0.1649289585759965
263,Power Corp. of Canada,38286,27.9,855.5,315387,"Insurance: Life, Health (stock)",Financials,Canada,30259,10339,-0.8057004108349373,-0.5656331908327913
264,Morgan Stanley,37949,0.1,5979.0,814949,Banks: Commercial and Savings,Financials,USA,55311,76050,0.9617922442463613,-1.3740259123871934
265,Hengli Group,37880,12.2,821.7,14838,Textiles,Industrials,China,61400,5498,-1.0384996035800242,-0.02903621418413325
266,SSE,37813,-12.7,2082.9,29899,Utilities,Energy,Britain,21157,7842,-0.9324621150635892,-0.13003459847806853
267,Massachusetts Mutual Life Insurance,37788,-1.2,1273.5,271040,"Insurance: Life, Health (Mutual)",Financials,USA,11737,15424,-0.7472950594266534,-0.4679484462080169
268,Goldman Sachs Group,37712,-3.8,7398.0,860165,Banks: Commercial and Savings,Financials,USA,34400,86893,1.220362074376185,-1.602574582383171
269,Johnson Controls International,37674,-6.3,-868.0,63253,Industrial Machinery,Industrials,Ireland,209000,24118,-0.6005420395618519,0.6079343486972089
270,GlaxoSmithKline,37642,3.0,1230.9,72985,Pharmaceuticals,Health Care,Britain,99300,1389,-0.9142283214859409,0.10466005085326797
271,China Huaneng Group,37543,-13.1,-85.9,144306,Energy,Energy,China,143691,7512,-0.7886503377036581,0.342483361738661
272,Energy Transfer Equity,37504,-11.0,995.0,79011,Pipelines,Energy,USA,30992,-1694,-1.0911204303143875,-0.05550990938446107
273,Shenhua Group,37322,-0.8,1916.9,140911,"Mining, Crude-Oil Production",Energy,China,202200,47962,-0.017414910575893026,0.21396994531250854
274,Greenland Holding Group,37240,12.8,1085.2,105495,Real estate,Financials,China,39887,8333,-0.9554862314507834,-0.23965648378055707
275,TIAA,37105,5.5,1492.3,523194,"Insurance: Life, Health (Mutual)",Financials,USA,12997,35583,-0.2849597318871279,-0.8633437874810087
276,Jardine Matheson,37051,0.1,2503.0,71523,Motor Vehicles and Parts,Motor Vehicles & Parts,China,430000,21800,0.12572591428951105,1.229005268982741
277,Oracle,37047,-3.1,8901.0,112180,Computer Software,Technology,USA,136000,47289,0.45209248228174703,-0.37663860242439856
278,ACS,36992,-4.5,830.5,35196,"Engineering, Construction",Engineering & Construction,Spain,117542,3778,-0.9124810071887169,0.2629473569366387
279,Sumitomo,36888,10.4,1577.1,69669,Trading,Wholesalers,Japan,70900,21241,-0.7209173784455292,-0.1551758884686575
280,Tyson Foods,36881,-10.9,1768.0,22373,Food Production,"Food, Beverages & Tobacco",USA,114000,9608,-0.7669157357415034,0.22351626646677927
281,Barclays,36789,-25.7,2807.4,1498612,Banks: Commercial and Savings,Financials,Britain,119300,80140,1.4498516541953734,-1.5264402378976831
282,Poste Italiane,36617,7.4,687.8,203760,"Insurance: Life, Health (stock)",Financials,Italy,136739,8578,-0.706184200113546,0.07834221024693325
283,Centrica,36580,-14.4,2256.7,27046,Utilities,Energy,Britain,38278,3293,-0.9488356317017073,-0.05322147542751202
284,United Continental Holdings,36556,-3.5,2263.0,40140,Airlines,Transportation,USA,88000,8659,-0.7849099652341662,0.035927576816149276
285,Allstate,36534,2.5,1877.0,108610,Insurance: Property and Casualty (Stock),Financials,USA,43275,20573,-0.7187136978566901,-0.27057335090698387
286,Pertamina,36487,-12.6,3147.0,47233,Petroleum Refining,Energy,Indonesia,27227,21864,-0.6519043255228201,-0.25511964441911056
287,Magna International,36445,7.6,2031.0,22566,Motor Vehicles and Parts,Motor Vehicles & Parts,Canada,155450,9768,-0.6846705610460788,0.25325659570931613
288,UBS Group,36230,-5.9,3252.2,920291,Banks: Commercial and Savings,Financials,Switzerland,59387,52777,0.5188627287504076,-1.1987667949504974
289,Intesa Sanpaolo,36225,-14.2,3440.3,764712,Banks: Commercial and Savings,Financials,Italy,89126,51583,0.4632776164529288,-0.8826058081645797
290,George Weston,36211,-1.3,414.9,28299,Food and Drug Stores,Food & Drug Stores,Canada,195000,5790,-0.7846285201701365,0.5544556019186193
291,Mitsubishi Heavy Industries,36122,7.2,809.6,49205,Industrial Machinery,Industrials,Japan,82728,15074,-0.8618056954621909,-0.009314391438229123
292,Rajesh Exports,36114,43.1,185.8,3717,Trading,Wholesalers,India,328,868,-1.3464111373657968,-0.39758258992173845
293,Pegatron,35891,-6.1,599.6,13776,"Computers, Office Equipment",Technology,Taiwan,196251,4601,-0.7885303945831783,0.5944730991007352
294,Meiji Yasuda Life Insurance,35767,0.4,2064.8,362739,"Insurance: Life, Health (Mutual)",Financials,Japan,41872,12074,-0.5989645761964283,-0.5031254414594513
295,Maersk Group,35464,-12.0,-1939.0,61118,Shipping,Transportation,Denmark,87736,31258,-0.8773779273371385,0.18616605016979187
296,SABIC,35421,-10.3,4757.1,84489,Chemicals,Chemicals,Saudi Arabia,35000,43471,-0.20984041214149476,-0.4665041355974433
297,Bouygues,35277,-2.2,809.5,36758,"Engineering, Construction",Engineering & Construction,France,117997,8585,-0.8741037561416963,0.21388760488552724
298,Volvo,35269,-4.8,1535.8,43924,Motor Vehicles and Parts,Motor Vehicles & Parts,Sweden,89477,10577,-0.8329261341157154,0.06466552602360053
299,Talanx,35101,-0.8,1003.0,165124,Insurance: Property and Casualty (Stock),Financials,Germany,20039,9574,-0.9418363592433527,-0.31670370359610567
300,Lufthansa Group,35011,-1.5,1964.0,36593,Airlines,Transportation,Germany,107276,7446,-0.8082688434202893,0.10832160065408365
301,Royal Bank of Canada,34904,0.3,7839.6,880724,Banks: Commercial and Savings,Financials,Canada,75510,52994,0.9187208760845401,-1.3966591324144775
302,Accenture,34798,5.7,4111.9,20609,Information Technology Services,Technology,Ireland,384000,7555,-0.06703002872142673,1.0229571821499979
303,Repsol,34485,-12.5,1919.7,68392,Petroleum Refining,Energy,Spain,24396,32553,-0.642675012618165,-0.2857467438705138
304,China Vanke,34458,17.5,3164.5,119555,Real estate,Financials,China,58280,16324,-0.6533012895513886,-0.38486460138267164
305,Publix Super Markets,34274,5.1,2025.7,17464,Food and Drug Stores,Food & Drug Stores,USA,191000,13473,-0.5897375425422285,0.37346070881324955
306,Edeka Zentrale,34193,6.8,356.0,6921,Wholesalers: Food and Grocery,Wholesalers,Germany,351500,1729,-0.5662014855801869,1.1292202841067742
307,J. Sainsbury,34149,-3.5,490.9,24674,Food and Drug Stores,Food & Drug Stores,Britain,118700,7971,-0.9287900395963383,0.24583654694511053
308,Alimentation Couche-Tard,34145,-1.1,1193.5,12304,Food and Drug Stores,Food & Drug Stores,Canada,105000,5044,-0.9418812593494906,0.16585241785042779
309,China Energy Engineering Group,33930,2.1,421.0,44181,"Engineering, Construction",Engineering & Construction,China,169173,5140,-0.8589604519340523,0.3999743301005394
310,Hyundai Heavy Industries,33881,-17.1,469.8,40783,Industrial Machinery,Industrials,South Korea,30767,13197,-1.019225638169589,-0.05043957151963478
311,ABB,33828,-4.7,1899.0,39499,Industrial Machinery,Industrials,Switzerland,132300,13395,-0.6957866030972676,0.18726617661280623
312,American Express,33823,-1.8,5408.0,158893,Diversified Financials,Financials,USA,56400,20501,-0.3493030240455858,-0.46338903319037883
313,Rio Tinto Group,33781,-3.0,4617.0,89263,"Mining, Crude-Oil Production",Energy,Britain,51029,39290,-0.2623525503932299,-0.4433810128660036
314,SNCF Mobilites,33747,3.8,565.1,39993,Railroads,Transportation,France,193718,4696,-0.8083183295757259,0.4805189864672922
315,CRRC,33739,-10.8,1700.3,48681,Industrial Machinery,Industrials,China,183061,15088,-0.5740754592018134,0.4114251926327814
316,CK Hutchison Holdings,33475,47.4,4252.4,130721,Specialty Retailers,Retailing,China,290000,54777,0.34749529392876133,0.08221930647699614
317,Jizhong Energy Group,33366,-11.8,-153.9,30819,"Mining, Crude-Oil Production",Energy,China,127298,2042,-1.033261677700461,0.37468777417726024
318,TJX,33184,7.2,2298.2,12884,Specialty Retailers,Retailing,USA,235000,4511,-0.6003580163593106,0.5472479775435621
319,Xinxing Cathay International Group,33174,1.9,448.2,18705,Metals,Materials,China,59429,4585,-1.117478883489665,0.00020777427353841567
320,Hyundai Mobis,32972,-0.7,2617.8,34541,Motor Vehicles and Parts,Motor Vehicles & Parts,South Korea,29499,23596,-0.7361083662552173,-0.3160210504011286
321,Aisin Seiki,32879,21.6,1168.9,29964,Motor Vehicles and Parts,Motor Vehicles & Parts,Japan,99389,11098,-0.9105402566141486,-0.04473243474254656
322,Rite Aid,32845,6.9,4.1,11594,Food and Drug Stores,Food & Drug Stores,USA,70430,614,-1.199390813409358,0.05786592737182241
323,Shaanxi Yanchang Petroleum (Group),32652,2.8,-22.6,45552,"Mining, Crude-Oil Production",Energy,China,134134,14063,-0.8759965429721677,0.23420509146203425
324,DZ Bank,32636,4.6,1623.4,537278,Banks: Commercial and Savings,Financials,Germany,28264,21160,-0.44760774666599024,-0.8019318809908159
325,UniCredit Group,32539,-5.9,-13038.0,906489,Banks: Commercial and Savings,Financials,Italy,117659,41484,-1.0333303310837498,-0.06196006706258493
326,China Everbright Group,32461,-1.3,1877.8,627701,Banks: Commercial and Savings,Financials,China,61400,15661,-0.34080160308774765,-0.7239484159695263
327,Daiwa House Industry,32421,21.9,1861.5,31917,"Engineering, Construction",Engineering & Construction,Japan,60539,10761,-0.9345997995380588,-0.2379736560506067
328,Nike,32376,5.8,3760.0,21396,Apparel,Apparel,USA,70700,12258,-0.7100131375374725,-0.2028959281087001
329,Iberdrola,32308,-7.3,2991.3,112536,Utilities,Energy,Spain,28389,38695,-0.4538820429736341,-0.4512517993467377
330,Commonwealth Bank of Australia,32287,-14.3,6712.9,694565,Banks: Commercial and Savings,Financials,Australia,45129,44816,0.4917571566497184,-1.1659193726486279
331,Sinomach,32237,-8.2,502.0,39142,Industrial Machinery,Industrials,China,115390,8930,-0.9235665797123147,0.2235303236335603
332,Fresenius,32161,4.9,1761.6,48984,Health Care: Medical Facilities,Health Care,Germany,232873,13186,-0.5255261495159274,0.4986401820548614
333,China Aerospace Science & Technology,32094,5.0,1996.2,55721,Aerospace and Defense,Aerospace & Defense,China,170357,21440,-0.5279011770329717,0.2031007423609109
334,Shaanxi Coal & Chemical Industry,31926,5.3,-254.4,64151,"Mining, Crude-Oil Production",Energy,China,123559,5769,-1.01425614721767,0.20096167133864606
335,China Evergrande Group,31828,50.2,2368.8,194384,Real estate,Financials,China,89250,22618,-0.5932157044577215,-0.5447080709266546
336,Jiangxi Copper,31680,0.4,20.4,16108,"Mining, Crude-Oil Production",Energy,China,25460,2967,-1.2609943478396726,-0.10242591460215758
337,Sompo Holdings,31559,16.4,1535.7,107092,Insurance: Property and Casualty (Stock),Financials,Japan,47430,8424,-0.9577342664460126,-0.3124824623290664
338,China Poly Group,31508,18.1,744.1,95657,Real estate,Financials,China,76425,7676,-0.9918022337797014,-0.15405925458843633
339,Chubb,31469,65.7,4135.0,159786,Insurance: Property and Casualty (Stock),Financials,Switzerland,31000,48275,-0.2945483838806586,-1.0334308932755545
340,Zhejiang Geely Holding Group,31430,19.5,1265.7,29749,Motor Vehicles and Parts,Motor Vehicles & Parts,China,60712,5896,-1.0559811912681194,-0.17713704611495318
341,Exelon,31360,6.5,1134.0,114904,Utilities,Energy,USA,34396,25837,-0.792614804387796,-0.3657449335445109
342,General Dynamics,31353,-0.4,2955.0,32872,Aerospace and Defense,Aerospace & Defense,USA,98800,10976,-0.7334852958197899,-0.030520682550743465
343,BT Group,31333,9.3,2484.6,52972,Telecommunications,Telecommunications,Britain,106400,10420,-0.7638452846672725,-0.05161794124526336
